inst_id,strategy,mix,total_return_pct,sharpe_like,max_drawdown_pct,trades,fast,fast__sma_cross,high,high__rsi_reversion,leverage,leverage__breakout,leverage__roc_momentum,leverage__rsi_reversion,leverage__sma_cross,low,low__rsi_reversion,max_positions,max_positions__breakout,max_positions__roc_momentum,max_positions__rsi_reversion,max_positions__sma_cross,period,period__roc_momentum,slow,slow__sma_cross,stop_loss_pct,stop_loss_pct__breakout,stop_loss_pct__roc_momentum,stop_loss_pct__rsi_reversion,stop_loss_pct__sma_cross,take_profit_pct,take_profit_pct__breakout,take_profit_pct__roc_momentum,take_profit_pct__rsi_reversion,take_profit_pct__sma_cross,threshold,threshold__roc_momentum,window,window__breakout
,breakout,breakout+roc_momentum:AND,210.7503,3.7417,61.9668,22,,,,,10.0,,10.0,,,,,3,,3,,,,5,,,0.03,,0.03,,,0.25,,0.1,,,,0.3,20,
,rsi_reversion,,170.4919,-4.5359,68.8374,42,,,80,,10.0,,,,,30,,3,,,,,14,,,,0.03,,,,,0.2,,,,,,,,
,rsi_reversion,rsi_reversion+sma_cross:VOTE_2_OF_3,170.4919,-4.5359,68.8374,42,,10,80,,10.0,,,,10.0,30,,3,,,,3,14,,,80,0.03,,,,0.03,0.2,,,,0.1,,,,
,sma_cross,,144.2709,-2.4655,86.8012,92,10,,,,10.0,,,,,,,3,,,,,,,80,,0.03,,,,,0.1,,,,,,,,
,sma_cross,breakout+sma_cross:AND,67.5044,-3.8358,82.4846,38,10,,,,10.0,10.0,,,,,,3,3,,,,,,80,,0.03,0.03,,,,0.1,0.25,,,,,,,20
,rsi_reversion,,20.4632,0.7243,75.9748,77,,,80,,10.0,,,,,30,,5,,,,,14,,,,0.03,,,,,0.2,,,,,,,,
,rsi_reversion,breakout+roc_momentum+rsi_reversion:OR,17.2353,0.4054,87.9780,334,,,80,,10.0,10.0,10.0,,,30,,3,3,3,,,14,5,,,0.03,0.03,0.03,,,0.2,0.25,0.1,,,,0.3,,20
,rsi_reversion,roc_momentum+rsi_reversion:OR,7.7494,-0.6765,90.6578,334,,,80,,10.0,,10.0,,,30,,3,,3,,,14,5,,,0.03,,0.03,,,0.2,,0.1,,,,0.3,,
,rsi_reversion,breakout+roc_momentum+rsi_reversion+sma_cross:AND,0.0000,0.0000,0.0000,0,,10,80,80,10.0,10.0,10.0,10.0,10.0,30,30,3,3,3,3,3,14,5,,80,0.03,0.03,0.03,0.03,0.03,0.2,0.25,0.1,0.2,0.1,,0.3,,20
,breakout,,-10.5731,1.6645,94.9145,107,,,,,10.0,,,,,,,3,,,,,,,,,0.03,,,,,0.25,,,,,,,20,
,breakout,breakout+roc_momentum:VOTE_2_OF_3,-10.5731,1.6645,94.9145,107,,,,,10.0,,10.0,,,,,3,,3,,,,5,,,0.03,,0.03,,,0.25,,0.1,,,,0.3,20,
,rsi_reversion,roc_momentum+rsi_reversion+sma_cross:AND,-17.3675,0.0000,21.6054,1,,10,80,,10.0,,10.0,,10.0,30,,3,,3,,3,14,5,,80,0.03,,0.03,,0.03,0.2,,0.1,,0.1,,0.3,,
,roc_momentum,,-19.1817,-0.1964,85.9301,369,,,,,10.0,,,,,,,3,,,,,5,,,,0.03,,,,,0.1,,,,,0.3,,,
,sma_cross,roc_momentum+sma_cross:VOTE_2_OF_3,-19.1817,-0.1964,85.9301,369,10,,,,10.0,,10.0,,,,,3,,3,,,,5,80,,0.03,,0.03,,,0.1,,0.1,,,,0.3,,
,sma_cross,breakout+roc_momentum+sma_cross:AND,-19.3019,-2.3129,50.6533,19,10,,,,10.0,10.0,10.0,,,,,3,3,3,,,,5,80,,0.03,0.03,0.03,,,0.1,0.25,0.1,,,,0.3,,20
,rsi_reversion,breakout+roc_momentum+rsi_reversion:AND,-21.1565,0.0000,60.9613,7,,,80,,10.0,10.0,10.0,,,30,,3,3,3,,,14,5,,,0.03,0.03,0.03,,,0.2,0.25,0.1,,,,0.3,,20
,sma_cross,,-33.8518,1.0212,86.6264,155,10,,,,10.0,,,,,,,5,,,,,,,80,,0.03,,,,,0.1,,,,,,,,
,sma_cross,,-35.4120,-1.6375,83.4960,118,20,,,,10.0,,,,,,,3,,,,,,,30,,0.03,,,,,0.2,,,,,,,,
,rsi_reversion,roc_momentum+rsi_reversion+sma_cross:OR,-35.4518,0.3189,90.3138,350,,10,80,,10.0,,10.0,,10.0,30,,3,,3,,3,14,5,,80,0.03,,0.03,,0.03,0.2,,0.1,,0.1,,0.3,,
,rsi_reversion,rsi_reversion+sma_cross:OR,-36.2028,-2.3052,95.1343,90,,10,80,,10.0,,,,10.0,30,,3,,,,3,14,,,80,0.03,,,,0.03,0.2,,,,0.1,,,,
,rsi_reversion,breakout+rsi_reversion+sma_cross:AND,-41.2603,0.0000,43.9914,1,,10,80,,10.0,10.0,,,10.0,30,,3,3,,,3,14,,,80,0.03,0.03,,,0.03,0.2,0.25,,,0.1,,,,20
,sma_cross,,-51.0870,1.1063,87.9361,126,10,,,,10.0,,,,,,,3,,,,,,,30,,0.03,,,,,0.2,,,,,,,,
,sma_cross,,-53.1326,-1.0695,76.8493,196,20,,,,10.0,,,,,,,5,,,,,,,30,,0.03,,,,,0.2,,,,,,,,
,sma_cross,,-57.5273,0.1236,90.4878,118,20,,,,20.0,,,,,,,5,,,,,,,50,,0.03,,,,,0.2,,,,,,,,
,breakout,breakout+roc_momentum:OR,-58.2071,0.4817,87.9360,345,,,,,10.0,,10.0,,,,,3,,3,,,,5,,,0.03,,0.03,,,0.25,,0.1,,,,0.3,20,
,rsi_reversion,roc_momentum+rsi_reversion:AND,-58.5745,0.0000,86.0828,23,,,80,,10.0,,10.0,,,30,,3,,3,,,14,5,,,0.03,,0.03,,,0.2,,0.1,,,,0.3,,
,rsi_reversion,breakout+roc_momentum+rsi_reversion+sma_cross:VOTE_2_OF_3,-59.6156,3.0075,82.5480,42,,10,80,80,10.0,10.0,10.0,10.0,10.0,30,30,3,3,3,3,3,14,5,,80,0.03,0.03,0.03,0.03,0.03,0.2,0.25,0.1,0.2,0.1,,0.3,,20
,rsi_reversion,breakout+rsi_reversion+sma_cross:VOTE_2_OF_3,-61.7873,0.3262,98.2994,34,,10,80,,10.0,10.0,,,10.0,30,,3,3,,,3,14,,,80,0.03,0.03,,,0.03,0.2,0.25,,,0.1,,,,20
,rsi_reversion,breakout+roc_momentum+rsi_reversion:VOTE_2_OF_3,-72.4173,3.8535,84.4593,37,,,80,,10.0,10.0,10.0,,,30,,3,3,3,,,14,5,,,0.03,0.03,0.03,,,0.2,0.25,0.1,,,,0.3,,20
,breakout,,-72.9105,-0.0913,93.4983,651,,,,,10.0,,,,,,,5,,,,,,,,,0.03,,,,,0.25,,,,,,,5,
,sma_cross,breakout+roc_momentum+sma_cross:VOTE_2_OF_3,-73.7410,-1.8840,84.8170,50,10,,,,10.0,10.0,10.0,,,,,3,3,3,,,,5,80,,0.03,0.03,0.03,,,0.1,0.25,0.1,,,,0.3,,20
,breakout,,-76.5387,0.7092,93.4027,177,,,,,10.0,,,,,,,5,,,,,,,,,0.03,,,,,0.25,,,,,,,20,
,rsi_reversion,breakout+roc_momentum+rsi_reversion+sma_cross:OR,-77.4449,0.4544,95.9717,352,,10,80,80,10.0,10.0,10.0,10.0,10.0,30,30,3,3,3,3,3,14,5,,80,0.03,0.03,0.03,0.03,0.03,0.2,0.25,0.1,0.2,0.1,,0.3,,20
,rsi_reversion,,-78.6704,-3.9576,94.1178,52,,,80,,10.0,,,,,20,,3,,,,,14,,,,0.03,,,,,0.2,,,,,,,,
,breakout,,-79.1824,0.0797,99.7605,101,,,,,20.0,,,,,,,3,,,,,,,,,0.03,,,,,0.25,,,,,,,20,
,sma_cross,,-79.4106,0.4746,94.2676,172,5,,,,10.0,,,,,,,5,,,,,,,50,,0.03,,,,,0.1,,,,,,,,
,sma_cross,,-79.4867,-0.6183,86.2247,209,20,,,,10.0,,,,,,,5,,,,,,,30,,0.03,,,,,0.1,,,,,,,,
,rsi_reversion,,-80.3308,-2.0625,87.2071,87,,,80,,10.0,,,,,20,,5,,,,,14,,,,0.03,,,,,0.2,,,,,,,,
,rsi_reversion,,-80.6277,1.8477,88.0341,143,,,70,,10.0,,,,,30,,5,,,,,14,,,,0.03,,,,,0.1,,,,,,,,
,rsi_reversion,,-83.2065,2.1936,99.0709,42,,,80,,20.0,,,,,30,,3,,,,,14,,,,0.03,,,,,0.2,,,,,,,,
,rsi_reversion,breakout+rsi_reversion:VOTE_2_OF_3,-83.4772,-0.7768,94.9467,108,,,80,,10.0,10.0,,,,30,,3,3,,,,14,,,,0.03,0.03,,,,0.2,0.25,,,,,,,20
,sma_cross,,-84.3305,-2.6407,86.9637,129,10,,,,10.0,,,,,,,3,,,,,,,30,,0.03,,,,,0.1,,,,,,,,
,rsi_reversion,rsi_reversion+sma_cross:AND,-85.6496,0.0000,89.8577,15,,10,80,,10.0,,,,10.0,30,,3,,,,3,14,,,80,0.03,,,,0.03,0.2,,,,0.1,,,,
,sma_cross,,-85.7124,5.5373,97.1509,127,10,,,,10.0,,,,,,,5,,,,,,,80,,0.03,,,,,0.2,,,,,,,,
,roc_momentum,,-86.7418,0.7621,93.6774,632,,,,,10.0,,,,,,,5,,,,,5,,,,0.03,,,,,0.1,,,,,0.3,,,
,breakout,,-87.0186,-0.4833,97.0595,398,,,,,10.0,,,,,,,3,,,,,,,,,0.03,,,,,0.25,,,,,,,5,
,rsi_reversion,,-87.6181,1.5138,91.2476,54,,,80,,10.0,,,,,20,,3,,,,,14,,,,0.03,,,,,0.1,,,,,,,,
,rsi_reversion,roc_momentum+rsi_reversion+sma_cross:VOTE_2_OF_3,-88.4023,0.4125,88.9364,28,,10,80,,10.0,,10.0,,10.0,30,,3,,3,,3,14,5,,80,0.03,,0.03,,0.03,0.2,,0.1,,0.1,,0.3,,
,rsi_reversion,,-88.4824,-0.2924,96.7000,79,,,70,,10.0,,,,,30,,3,,,,,14,,,,0.03,,,,,0.1,,,,,,,,
,rsi_reversion,,-88.6470,0.3987,89.7900,46,,,80,,10.0,,,,,30,,3,,,,,14,,,,0.03,,,,,0.1,,,,,,,,
,sma_cross,,-89.9440,-0.2408,97.7725,140,5,,,,10.0,,,,,,,3,,,,,,,30,,0.03,,,,,0.1,,,,,,,,
,rsi_reversion,,-90.0771,-1.1557,91.3629,140,,,70,,10.0,,,,,30,,5,,,,,14,,,,0.03,,,,,0.2,,,,,,,,
